DATE,PBI,PELEC,CINTC,VOLINPUT,INDPRO,INGRESO,CREDMN,IGBVL
2004-01-01,3.67496599637409,4.22903151065802,6.86888991547326,-16.5324809515333,1.37359,-1.07705600849762,13.5145634035397,79.9130090945037
2004-02-01,4.24595911891139,7.3509768428937,6.46828947961398,9.21509547663796,1.84294,1.17387909726907,9.45336876491373,76.5785736774807
2004-03-01,5.77425697433645,5.43638215983699,7.7804937895819,-2.81255417040227,1.57144,2.60155778477091,8.22696581534948,94.7347488613766
2004-04-01,4.24799534215179,6.19489971007633,2.20196531003788,7.5944704112684,2.7645,3.19337118373366,5.00330403653432,59.8894015470213
2004-05-01,3.95075685370194,6.12444597939332,2.77065865458609,19.0052293115257,3.55004,0.972554872810383,4.77257313137193,61.8517535419224
2004-06-01,3.00998259699092,5.1916252661462,5.09432075723237,14.0540683029279,2.52478,1.90563700967126,6.05485970828809,58.1419052211652
2004-07-01,3.660956165388,4.27704576976422,-0.374674978854046,5.48390922799363,2.86179,1.95256507054316,6.51896353269782,52.7129939410973
2004-08-01,4.45023506212117,5.93278660320009,2.11487444880324,22.217433428355,3.08464,0.985134304066149,7.34353310194561,50.2873229932202
2004-09-01,4.7852471133977,7.00618459182472,3.44298310720542,20.5757554377525,2.56774,2.52859591901169,9.01919256988184,65.5265721944842
2004-10-01,2.62058005667627,4.42964793232873,0.239222200730467,-2.36660365307953,3.39833,3.26887569061101,12.7012375406343,68.092339202913
2004-11-01,9.457171900743,6.19419606262951,9.20751822017645,14.7145492875915,2.82291,2.44421392556569,10.670602377967,68.1272603873223
2004-12-01,9.79438004053079,8.16922987196046,5.18794665627454,32.7631545360123,3.65315,1.88901803578962,11.5922886274834,52.3749096524082
2005-01-01,5.35597311641658,5.39913877326456,6.53849838482613,31.3563642688439,3.86506,0.0143885127550369,12.3149395340395,42.196336996337
2005-02-01,8.1474128175264,1.66436346933199,9.89042412954878,17.9950690042908,3.94964,-3.12180736992294,13.2497227446076,48.4023565286688
2005-03-01,3.51107490542293,3.57409345894732,5.67921293107672,11.2094950096213,4.30349,-2.32026794449478,15.4480992376361,36.9971538877103
2005-04-01,3.5424146416408,5.21777657677736,17.9970459873073,13.0764035438945,4.00979,-1.0636087804446,16.9426318642838,40.9708813398686
2005-05-01,6.50889811528326,6.24394928676031,16.2598945836575,7.83909679154388,3.32657,3.43571994511904,18.5783470623991,34.1157498043959
2005-06-01,6.20539280505839,4.46749654218534,13.0997891064774,7.28268564681183,4.58506,4.50246982430274,18.960056198947,39.9241137946568
2005-07-01,6.29649721858796,4.06388270958374,16.4403957058494,9.39429725560301,3.45729,4.49408574930474,20.3286372453421,49.0321895627245
2005-08-01,7.06300307201133,4.97891573505129,14.5072895870929,12.2700813433532,3.66561,4.85548776089961,23.3795265059774,61.7775407972835
2005-09-01,6.05312105189169,4.98274105259033,12.7059297930413,1.06890062436163,1.64493,2.24585885882904,24.2005329557028,54.6550567280712
2005-10-01,6.49266528282106,6.70853619668566,12.3225594996552,7.75451966953168,1.95618,1.60666521677608,25.292613081345,34.3823070652711
2005-11-01,9.39989740117377,6.8544460609918,12.2401792739125,26.1771663751757,2.7741,1.24706792326268,29.8956286487912,39.1951823751908
2005-12-01,6.88336698705256,5.75756832577903,12.8155995717636,-7.03862015599872,2.65621,2.71185507515976,35.5409313062566,29.4270952649182
2006-01-01,7.1017016443008,7.66554653686702,10.9203563133001,5.62400467871013,2.30623,3.90586517940739,36.8609807405755,45.1202485342456
2006-02-01,5.60815182888319,7.88610118029696,9.96511366658451,8.09241596513654,1.61164,5.47042656472261,39.4428787639298,49.0998612153222
2006-03-01,12.0795001803328,9.00921764458932,13.7403815995348,21.5344365872513,1.98276,3.21789701237825,39.6258882755703,42.3590656070789
2006-04-01,5.40297358027555,4.37617474136524,-0.810083023994114,5.54994785330069,2.21959,2.77209521621076,39.2255077192118,79.1871640046259
2006-05-01,6.09980733591262,5.22802651851838,13.6482785653996,11.0425948838344,1.98357,2.82016816276403,38.0606027513948,83.7209006098835
2006-06-01,7.48071786155011,7.37889967804749,9.14086179220475,20.5556032377915,1.98429,3.13308763903386,39.2923666441655,101.97272459368
2006-07-01,6.51377282433494,9.21000885838717,7.03328595151628,17.4975951648959,2.27021,2.36262628541106,38.8212424167336,113.109766958058
2006-08-01,10.3209217546199,7.95087666973499,20.7981842010744,2.59204620992124,2.39055,2.43977614816342,36.7973326856248,117.096076118445
2006-09-01,8.13940397413706,8.07781421137487,18.3565208359026,12.7004175093897,4.12662,5.33451318441864,36.6316905914262,104.904128121037
2006-10-01,8.70194068649597,8.30068977159722,17.9986081093709,39.2809666265367,2.77088,6.29782060343433,35.5909408882921,124.470074616684
2006-11-01,4.74313280864553,8.45827628997417,19.7018478478702,11.2693550472794,1.64192,8.48623026427344,34.3826956818315,128.083546868482
2006-12-01,8.59943457160925,8.29862058930817,11.0017424421331,27.7919752013282,2.066,9.20164610219523,30.8101819064667,168.295070019262
2007-01-01,5.00805166262359,9.40668564095644,12.73606057569,24.1673900626726,1.41556,6.72964115573618,30.3268904790287,142.012173582722
2007-02-01,4.78195152534824,9.2932555232878,5.87615150354677,30.5346061957562,2.43354,4.5252899603158,29.8229821968434,149.161935836124
2007-03-01,6.01563770401576,10.4450276138739,12.2462827730434,12.9947724121622,2.44581,7.79397297426183,30.236390417971,189.719111561524
2007-04-01,5.29303442039806,11.2394156735582,14.460923972153,14.9011541638159,2.7538,4.46571703154663,33.7975270619386,189.444372889519
